0,1
*Lisp,C*
A+_(programming_language),K_(programming_language)
A+_(programming_language),Q_(programming_language_from_Kx_Systems)
ABC_(programming_language),Python_(programming_language)
AIMACO,COBOL
ALF_(proof_assistant),Epigram_(programming_language)
ALGOL,CORAL
ALGOL,C_(programming_language)
ALGOL,Dartmouth_BASIC
ALGOL,Dylan_(programming_language)
ALGOL,Icon_(programming_language)
ALGOL,JOVIAL
ALGOL,Mesa_(programming_language)
ALGOL,Modula-2+
ALGOL,Modula-3
ALGOL,NEWP
ALGOL,PL/I
ALGOL,PL/M
ALGOL,Pascal_(programming_language)
ALGOL,Rexx
ALGOL,Scheme_(programming_language)
ALGOL,Simula
ALGOL_58,ALGOL
ALGOL_58,ALGOL_60
ALGOL_58,Dartmouth_ALGOL_30
ALGOL_60,ALGOL_68
ALGOL_60,ALGOL_W
ALGOL_60,Ada_(programming_language)
ALGOL_60,BASIC
ALGOL_60,Burroughs_large_systems
ALGOL_60,CLU_(programming_language)
ALGOL_60,CPL_(programming_language)
ALGOL_60,C_(programming_language)
ALGOL_60,Dartmouth_ALGOL_30
ALGOL_60,Euler_(programming_language)
ALGOL_60,Executive_Systems_Problem_Oriented_Language
ALGOL_60,IMP_(programming_language)
ALGOL_60,ISWIM
ALGOL_60,PL/I
ALGOL_60,Pascal_(programming_language)
ALGOL_60,SETL
ALGOL_60,Simula
ALGOL_68,ABC_(programming_language)
ALGOL_68,Ada_(programming_language)
ALGOL_68,Bash_(Unix_shell)
ALGOL_68,Bourne_shell
ALGOL_68,C++
ALGOL_68,C_(programming_language)
ALGOL_68,KornShell
ALGOL_68,Mary_(programming_language)
ALGOL_68,Python_(programming_language)
ALGOL_68,S3_(programming_language)
ALGOL_68,Seed7
ALGOL_68,Steelman_language_requirements
ALGOL_68,TMG_(language)
ALGOL_W,Modula-2
ALGOL_W,Pascal_(programming_language)
ALGOL_Y,ALGOL_68
AMPL,Pyomo
ANSI_C,C*
APL_(programming_language),A+_(programming_language)
APL_(programming_language),C++
APL_(programming_language),FP_(programming_language)
APL_(programming_language),Go_(programming_language)
APL_(programming_language),J_(programming_language)
APL_(programming_language),K_(programming_language)
APL_(programming_language),LYaPAS
APL_(programming_language),MATLAB
APL_(programming_language),Nial
APL_(programming_language),Polymorphic_Programming_Language
APL_(programming_language),Python_(programming_language)
APL_(programming_language),Q_(programming_language_from_Kx_Systems)
APL_(programming_language),SAC_programming_language
APL_(programming_language),S_(programming_language)
APL_(programming_language),Self_(programming_language)
APL_(programming_language),Speakeasy_(computational_environment)
APL_(programming_language),Wikipedia:Citation_needed
APL_(programming_language),Wolfram_Language
ARITH-MATIC,FLOW-MATIC
ARPANET,Smalltalk
AWK,AMPL
AWK,ECMAScript
AWK,JavaScript
AWK,KornShell
AWK,Lua_(programming_language)
AWK,Perl
