0,1
*Lisp,"['multi-paradigm', 'functional', 'procedural', 'reflective', 'meta', 'parallel']"
A+_(programming_language),['array']
ABC_(programming_language),"['multi-paradigm', 'imperative', 'procedural', 'structured']"
AIMACO,['imperative']
ALF_(proof_assistant),[]
ALGOL,"['procedural', 'imperative', 'structured']"
ALGOL_58,"['procedural', 'imperative', 'structured']"
ALGOL_60,"['procedural', 'imperative', 'structured']"
ALGOL_68,"['multi-paradigm', 'concurrent', 'imperative']"
ALGOL_W,"['multi-paradigm', 'procedural', 'imperative', 'structured']"
ALGOL_Y,[]
AMPL,"['multi-paradigm', 'declarative', 'imperative']"
APL_(programming_language),"['array', 'functional', 'structured', 'modular']"
ARITH-MATIC,[]
ARPANET,[]
ATS_(programming_language),"['multi-paradigm', 'functional', 'imperative']"
AWK,"['scripting', 'procedural', 'data-driven']"
ActionScript,"['multi-paradigm', 'object-oriented', 'prototype-based', 'functional', 'imperative', 'scripting']"
Active_Oberon,"['imperative', 'structured', 'modular', 'object-oriented', 'concurrent']"
Active_Server_Pages,[]
Actor_model,[]
Ada_(programming_language),"['multi-paradigm', 'structured', 'imperative', 'object-oriented', 'aspect-oriented', 'concurrent', 'array', 'distributed', 'generic', 'procedural', 'meta']"
Agda_(programming_language),['functional']
AgentCubes,"['object-oriented', 'educational']"
AgentSheets,"['object-oriented', 'educational']"
Akka_(toolkit),[]
Albatross_(programming_language),[]
Alef_(programming_language),"['compiled', 'concurrent', 'structured']"
Alice_(programming_language),"['multi-paradigm', 'imperative', 'functional', 'distributed', 'concurrent']"
Alma-0,"['multi-paradigm', 'constraint', 'imperative', 'logic']"
Apache_Groovy,"['multi-paradigm', 'object-oriented', 'imperative', 'functional', 'aspect-oriented', 'scripting']"
AppleScript,"['natural language programming', 'scripting']"
Argus_(programming_language),[]
Asm.js,[]
AssemblyScript,"['multi-paradigm', 'functional', 'generic', 'imperative', 'object-oriented']"
Assembly_language,"['imperative', 'unstructured', 'metaprogramming', 'macros', 'object-oriented', 'structured', 'actor-based', 'array', 'aspect-oriented', 'class-based', 'concatenative', 'concurrent', 'dataflow', 'declarative', 'differentiable', 'domain-specific', 'dynamic', 'esoteric', 'event-driven', 'extensible', 'functional', 'imperative', 'logic', 'macro', 'metaprogramming', 'object-based', 'object-oriented', 'pipeline', 'procedural', 'prototype-based', 'reflective', 'rule-based', 'scripting', 'stack-oriented', 'synchronous', 'tactile', 'template']"
AtScript,[]
AutoLISP,[]
BASIC,"['non-structured', 'procedural', 'object-oriented']"
BASIC-PLUS,['imperative']
BBN_LISP,[]
BCPL,"['procedural', 'imperative', 'structured']"
BETA_(programming_language),['object-oriented']
B_(programming_language),[]
Bash_(Unix_shell),[]
Basic4ppc,"['procedural programming', 'event-driven']"
BeanShell,"['object-oriented', 'scripting']"
Begriffsschrift,[]
Bluespec,[]
Boo_(programming_language),['object oriented']
Bourne_shell,[]
Bs_(programming_language),[]
Burroughs_MCP,[]
Burroughs_large_systems,"['multi-paradigm', 'procedural', 'imperative', 'structured']"
C*,"['multi-paradigm', 'object-oriented', 'imperative', 'parallel']"
C++,"['multi-paradigm', 'procedural', 'imperative', 'functional', 'object-oriented', 'generic', 'modular']"
C--,['imperative']
C/AL,['imperative']
CAL_(programming_language),[]
CLIPS,['expert systems']
CLU_(programming_language),"['multi-paradigm', 'object-oriented', 'procedural']"
CMS-2,['imperative']
COBOL,"['procedural', 'imperative', 'object-oriented', 'generic']"
COMAL,['structured']
COMIT,[]
COMTRAN,[]
CORAL,"['procedural', 'imperative', 'structured']"
COWSEL,[]
CPL_(programming_language),"['multi-paradigm', 'procedural', 'imperative', 'structured', 'functional']"
C_(programming_language),"['multi-paradigm', 'imperative', 'procedural', 'structured']"
C_Sharp_(programming_language),"['multi-paradigm', 'structured', 'imperative', 'object-oriented', 'event-driven', 'task-driven', 'functional', 'generic', 'reflective', 'concurrent']"
C_shell,[]
Caché ObjectScript,[]
Cadence_SKILL,"['functional', 'oop']"
Caml,"['multi-paradigm', 'functional', 'imperative']"
Carbon_(programming_language),[]
Catrobat,[]
Ceylon_(programming_language),['object-oriented']
Chapel_(programming_language),"['object-oriented', 'partitioned global address space', 'parallel programming']"
Chisel_(programming_language),"['multi-paradigm', 'concurrent', 'functional', 'imperative', 'object-oriented']"
Clean_(programming_language),['functional']
Clojure,"['multi-paradigm', 'agent-oriented', 'concurrent', 'functional', 'logic', 'macro', 'pipeline']"
CobolScript,[]
Cobra_(programming_language),"['multi-paradigm', 'object-oriented']"
CoffeeScript,"['multi-paradigm', 'prototype-based', 'functional', 'imperative', 'scripting']"
Common_Lisp,"['multi-paradigm', 'procedural', 'functional', 'object-oriented', 'meta', 'reflective', 'generic']"
Common_Lisp_Object_System,"['common lisp the language', 'paradigms of ai programming', 'the art of the metaobject protocol', 'on lisp', 'practical common lisp', 'object-oriented programming in common lisp']"
Communicating_sequential_processes,[]
Component_Pascal,"['imperative', 'structured', 'modular', 'object-oriented']"
Concurrent_Euclid,"['multi-paradigm', 'structured', 'imperative', 'functional']"
Constraint_Handling_Rules,"['constraint logic', 'declarative']"
Contextual_Query_Language,[]
Control_Language,['imperative']
Cool_(programming_language),['object-oriented']
Coq,[]
Couchbase_Server,[]
Cray_XMT,[]
Croquet_OS,[]
Crystal_(programming_language),"['multi-paradigm', 'object-oriented', 'concurrent']"
Curry_(programming_language),"['functional', 'logic']"
Cyc,[]
Cyclone_(programming_language),[]
Cω,"['multi-paradigm', 'structured', 'imperative', 'object-oriented', 'event-driven', 'functional']"
