0,1
*Lisp,"['dynamic', 'strong']"
A+_(programming_language),"['dynamic', 'strong']"
ABC_(programming_language),"['strong', 'polymorphic']"
AIMACO,[]
ALF_(proof_assistant),[]
ALGOL,"['static', 'strong']"
ALGOL_58,"['static', 'strong']"
ALGOL_60,"['static', 'strong']"
ALGOL_68,"['static', 'strong', 'safe', 'structural']"
ALGOL_W,"['static', 'strong']"
ALGOL_Y,[]
AMPL,[]
APL_(programming_language),['dynamic']
ARITH-MATIC,[]
ARPANET,[]
ATS_(programming_language),['static']
AWK,[]
ActionScript,"['strong', 'static']"
Active_Oberon,"['strong', 'static', 'dynamic']"
Active_Server_Pages,[]
Actor_model,[]
Ada_(programming_language),"['static', 'strong', 'safe', 'nominative']"
Agda_(programming_language),"['strong', 'static', 'dependent', 'nominal', 'manifest', 'inferred']"
AgentCubes,[]
AgentSheets,[]
Akka_(toolkit),[]
Albatross_(programming_language),"['static', 'strong']"
Alef_(programming_language),"['static', 'strong']"
Alice_(programming_language),"['strong', 'static', 'inferred']"
Alma-0,['static']
Apache_Groovy,"['dynamic', 'static', 'strong', 'duck']"
AppleScript,"['weak', 'dynamic']"
Argus_(programming_language),[]
Asm.js,[]
AssemblyScript,['static']
Assembly_language,[]
AtScript,[]
AutoLISP,['dynamic']
BASIC,[]
BASIC-PLUS,[]
BBN_LISP,[]
BCPL,['word']
BETA_(programming_language),[]
B_(programming_language),['word']
Bash_(Unix_shell),[]
Basic4ppc,"['static', 'weak']"
BeanShell,"['dynamic', 'strong']"
Begriffsschrift,[]
Bluespec,[]
Boo_(programming_language),"['static', 'strong', 'inferred', 'duck']"
Bourne_shell,[]
Bs_(programming_language),[]
Burroughs_MCP,[]
Burroughs_large_systems,[]
C*,"['static', 'weak', 'manifest']"
C++,"['static', 'nominative', 'partially inferred']"
C--,"['static', 'weak']"
C/AL,[]
CAL_(programming_language),[]
CLIPS,[]
CLU_(programming_language),['strong']
CMS-2,[]
COBOL,"['weak', 'static']"
COMAL,['strong']
COMIT,[]
COMTRAN,[]
CORAL,"['static', 'strong']"
COWSEL,[]
CPL_(programming_language),[]
C_(programming_language),"['static', 'weak', 'manifest', 'nominal']"
C_Sharp_(programming_language),"['static', 'dynamic', 'strong', 'safe', 'nominative', 'partially inferred']"
C_shell,[]
Caché ObjectScript,[]
Cadence_SKILL,['dynamic']
Caml,"['inferred', 'static', 'strong']"
Carbon_(programming_language),"['static', 'nominative', 'partially inferred']"
Catrobat,['dynamic']
Ceylon_(programming_language),"['static', 'strong', 'safe']"
Chapel_(programming_language),"['static', 'inferred']"
Chisel_(programming_language),"['inferred', 'static', 'strong', 'structural']"
Clean_(programming_language),"['strong', 'static', 'dynamic']"
Clojure,"['dynamic', 'strong']"
CobolScript,[]
Cobra_(programming_language),"['strong', 'static', 'dynamic', 'inferred']"
CoffeeScript,['dynamic']
Common_Lisp,"['dynamic', 'strong']"
Common_Lisp_Object_System,[]
Communicating_sequential_processes,[]
Component_Pascal,"['strong', 'static']"
Concurrent_Euclid,"['strong', 'static']"
Constraint_Handling_Rules,[]
Contextual_Query_Language,[]
Control_Language,[]
Cool_(programming_language),"['static', 'strong', 'manifest']"
Coq,[]
Couchbase_Server,[]
Cray_XMT,[]
Croquet_OS,[]
Crystal_(programming_language),"['static', 'inferred', 'nominal', 'duck']"
Curry_(programming_language),"['static', 'strong', 'inferred']"
Cyc,[]
Cyclone_(programming_language),[]
Cω,"['static', 'strong', 'safe']"
DARSIMCO,[]
DIGITAL_Command_Language,[]
DOPE,[]
D_(programming_language),"['inferred', 'static', 'strong']"
Dafny,"['static', 'strong', 'safe']"
Dart_(programming_language),"['optional', 'inferred', 'static', 'strong']"
Dartmouth_ALGOL_30,[]
Dartmouth_BASIC,[]
Dartmouth_Time_Sharing_System,[]
Datalog,['weak']
Dragon,[]
Dylan_(programming_language),[]
ECMAScript,"['weak', 'dynamic']"
EGL_(programming_language),[]
EISPACK,[]
EXEC_2,[]
E_(programming_language),"['strong', 'dynamic']"
Ease_(programming_language),['strong']
