0,1
*Lisp,C*
A+,K
A+,Q (programming language from Kx Systems)
ABC,Python
ALF (proof assistant),Epigram
ALGOL,C
ALGOL,Cedar
ALGOL,Coral 66
ALGOL,Dartmouth BASIC
ALGOL,Dylan
ALGOL,Icon
ALGOL,JOVIAL
ALGOL,Mesa
ALGOL,Modula-2+
ALGOL,Modula-3
ALGOL,NEWP
ALGOL,PL/I
ALGOL,Pascal
ALGOL,REXX
ALGOL,Rexx
ALGOL,Scheme
ALGOL,Simula
ALGOL 58,ALGOL 60
ALGOL 58,Algol-like
ALGOL 58,Dartmouth ALGOL 30
ALGOL 60,ALGOL 68
ALGOL 60,ALGOL W
ALGOL 60,Ada
ALGOL 60,BASIC
ALGOL 60,Burroughs B5000
ALGOL 60,C
ALGOL 60,CLU
ALGOL 60,CPL
ALGOL 60,Combined Programming Language
ALGOL 60,Dartmouth ALGOL 30
ALGOL 60,Euler
ALGOL 60,Executive Systems Problem Oriented Language
ALGOL 60,IMP
ALGOL 60,ISETL
ALGOL 60,ISWIM
ALGOL 60,Pascal
ALGOL 60,SETL
ALGOL 60,SETL2
ALGOL 60,Simula
ALGOL 60,Simula 67
ALGOL 60,Simula67
ALGOL 68,ABC
ALGOL 68,Ada
ALGOL 68,Bash (Unix shell)
ALGOL 68,Bourne shell
ALGOL 68,C
ALGOL 68,C++
ALGOL 68,KornShell
ALGOL 68,Mary
ALGOL 68,Python
ALGOL 68,S3
ALGOL 68,Seed7
ALGOL 68,Steelman language requirements
ALGOL 68,TMG (language)
ALGOL W,Modula-2
ALGOL W,Pascal
ALGOL Y,ALGOL 68
AMPL,Pyomo
ANSI C,C*
APL,A+
APL,C++
APL,FP
APL,Go
APL,J
APL,K
APL,LYaPAS
APL,MATLAB
APL,Nial
APL,Polymorphic Programming Language
APL,Python
APL,Q (programming language from Kx Systems)
APL,S
APL,SAC
APL,Self
APL,Speakeasy (computational environment)
APL,Wikipedia:Citation needed
APL,Wolfram Language
ARPAnet,Smalltalk
AWK,AMPL
AWK,ECMAScript
AWK,EcmaScript
AWK,JavaScript
AWK,Korn Shell
AWK,Lua
AWK,Perl
AWK,Tcl
ActionScript,Haxe
ActionScript,TypeScript
Active Oberon,Go
Actor model,Joule
Actor model middle history,Io
Ada,C++
Ada,Chapel
Ada,D
Ada,Drago
Ada,Eiffel
Ada,Java
Ada,Nim
Ada,PL/SQL
Ada,PL/pgSQL
Ada,ParaSail
Ada,Python
Ada,Ruby
Ada,SPARK
Ada,SQL/PSM
Ada,Seed7
Ada,VHDL
Ada,Verilog
Agda,Idris
AgentCubes,Scratch
AgentSheets,AgentCubes
AgentSheets,Etoys
AgentSheets,Scratch
Alef,Go
Alef,Limbo
Alef,Rust
Algol-like,C
Algol-like,PL/I
Algol-like,Pascal
Algol-like,Scheme
Algol-like,Simula
Alphard,CLU
Apache Groovy,Kotlin
Asm.js,WebAssembly
Assembly language,C
Assembly language,Speedcoding
B,C
B,TMG (language)
BASIC,Bs
BASIC,COMAL
BASIC,Classic Visual Basic
BASIC,GRASS
BASIC,Perl
BASIC,Ring
BASIC,Ruby
BASIC,Visual Basic (classic)
BASIC,Visual Basic .NET
BASIC-PLUS,Microsoft BASIC
