key,year,num_outgoing_links,num_incoming_links
*Lisp,1986.0,1.0,2.0
A+,1988.0,2.0,1.0
ABC,1987.0,1.0,4.0
ALF (proof assistant),,1.0,
ALGOL,1958.0,17.0,
ALGOL 58,1958.0,3.0,6.0
ALGOL 60,1960.0,21.0,1.0
ALGOL 68,1968.0,13.0,2.0
ALGOL W,1966.0,2.0,1.0
ALGOL Y,,1.0,
AMPL,1985.0,1.0,2.0
ANSI C,,1.0,
APL,1966.0,18.0,1.0
ARPAnet,,1.0,
ATS,,,4.0
AWK,1977.0,8.0,3.0
ActionScript,1998.0,2.0,3.0
Active Oberon,1998.0,1.0,3.0
Active Server Pages,,,1.0
Actor model,,1.0,1.0
Actor model middle history,,1.0,
Ada,1980.0,17.0,10.0
Agda,2007.0,1.0,3.0
AgentCubes,2006.0,1.0,4.0
AgentSheets,1991.0,3.0,3.0
Agora,,,1.0
Akka (toolkit),,,1.0
Albatross,,,1.0
Alef,1992.0,3.0,2.0
Algol-like,1958.0,5.0,1.0
Alice,2000.0,,2.0
Alma-0,1997.0,,2.0
Alphard,,1.0,
Apache Groovy,2003.0,1.0,4.0
AppleScript,1993.0,,3.0
Argus,,,1.0
Asm.js,2013.0,1.0,1.0
Assembly language,1947.0,2.0,
AssemblyScript,2017.0,,3.0
AtScript,,,1.0
AutoLisp,1986.0,,2.0
B,1969.0,2.0,3.0
BASIC,1964.0,9.0,6.0
BASIC-PLUS,1970.0,1.0,3.0
BBN LISP,,2.0,
BCPL,1967.0,4.0,2.0
BETA,,1.0,1.0
Bash (Unix shell),,,1.0
Basic4android,,,2.0
Basic4ppc,2005.0,,3.0
BeanShell,1999.0,,3.0
Begriffsschrift,,1.0,
"Bluespec, Inc.",,,1.0
Boo,2003.0,3.0,2.0
Bourne shell,,,1.0
Boxer,,,1.0
Bs,1980.0,,3.0
Burroughs B5000,1962.0,4.0,1.0
Burroughs MCP,,,1.0
C,1972.0,48.0,13.0
C Sharp,2000.0,28.0,17.0
C shell,,,1.0
C*,1987.0,1.0,2.0
C++,1985.0,29.0,11.0
C++11,,,3.0
C++14,,,2.0
C++17,,,2.0
C++20,,,2.0
C--,1997.0,,3.0
C/AL,,,2.0
C99,,,1.0
CAL,,1.0,1.0
CLIPS,1985.0,,1.0
CLU,1975.0,10.0,4.0
CMS EXEC,,2.0,
CMS-2,1968.0,,6.0
COMAL,1975.0,,2.0
COMIT,1957.0,1.0,
COWSEL,1964.0,1.0,2.0
CPL,1963.0,3.0,1.0
CS-1,,1.0,
Caché ObjectScript,1997.0,,1.0
Cadence SKILL,1990.0,,3.0
Caml,1985.0,1.0,1.0
Carbon,,,2.0
Cat,,,1.0
Category:C family,,,1.0
Catrobat,2010.0,,1.0
Cayenne,,,1.0
Cedar,1976.0,4.0,3.0
Ceylon,2011.0,,6.0
Chapel,2009.0,,12.0
Chef (software),,2.0,
Chisel,2012.0,,1.0
Classic Visual Basic,1991.0,7.0,1.0
Clean,1987.0,2.0,4.0
Clojure,2007.0,4.0,12.0
Cobra,2006.0,,4.0
CoffeeScript,2009.0,4.0,7.0
Combined Programming Language,1963.0,3.0,1.0
Common Lisp,1984.0,16.0,6.0
Common Lisp Object System,,3.0,1.0
Communicating Sequential Processes,,1.0,
Communicating sequential processes,,4.0,
Component Pascal,1997.0,,3.0
Concepts (C++),,,1.0
Concurrent Euclid,1980.0,3.0,2.0
Constraint Handling Rules,1991.0,,1.0
Contextual Query Language,,,1.0
Control Language,1978.0,2.0,2.0
Cool,1996.0,,4.0
Coq,,4.0,2.0
Coral 66,1964.0,,3.0
Cray MTA,,1.0,
Cray XMT,,1.0,
Croquet Project,,,2.0
Crystal,2014.0,,6.0
Curry,,,2.0
Cyclone,2002.0,2.0,2.0
Cω,2003.0,3.0,2.0
D,2001.0,10.0,8.0
D language,2001.0,10.0,6.0
DARSIMCO,1956.0,2.0,
DIGITAL Command Language,,2.0,
DOPE (Dartmouth Oversimplified Programming Experiment),1962.0,1.0,5.0
Dafny,2009.0,1.0,
Dart,2011.0,,10.0
Dartmouth ALGOL 30,1961.0,2.0,2.0
Dartmouth BASIC,1964.0,3.0,4.0
Dartmouth Time Sharing System,,,1.0
Datalog,1986.0,1.0,1.0
Dataparallel-C,,,1.0
Delphi (Programming Language),,1.0,
Dependent ML,,1.0,
Donald Knuth,,,1.0
Drago,,,1.0
Dylan,1992.0,5.0,8.0
E,1997.0,2.0,3.0
ECMAScript,1997.0,,9.0
EISPACK,,1.0,
EXEC 2,,2.0,
Ease,1991.0,,1.0
EcmaScript,1997.0,1.0,9.0
Ed (text editor),,1.0,
Eiffel,1986.0,13.0,3.0
Elixir,2012.0,1.0,4.0
Elm,2012.0,2.0,5.0
Emacs Lisp,1985.0,,2.0
Epigram,2004.0,2.0,2.0
Erlang,1986.0,13.0,5.0
Escher,1990.0,,2.0
Etoys,1996.0,2.0,6.0
EuLisp,1990.0,2.0,10.0
Euclid,1970.0,7.0,1.0
Euler,1965.0,1.0,1.0
Excel function,,1.0,
Excel macro,,1.0,
Executive Systems Problem Oriented Language,1966.0,1.0,2.0
F Sharp,2005.0,7.0,8.0
F*,,,7.0
FL,1989.0,,1.0
FOCAL,1968.0,1.0,1.0
FORTRAN,1957.0,13.0,1.0
FP,1977.0,3.0,1.0
Factor,2003.0,,4.0
Fantom,2005.0,,5.0
Flix,,,5.0
Forth,1970.0,6.0,1.0
Fortran,1957.0,17.0,1.0
Fortran 90,1957.0,12.0,2.0
Fortress,2006.0,,5.0
FreeBASIC,2004.0,,4.0
GNU Octave,,,1.0
GRASS,,,1.0
GW-BASIC,1983.0,4.0,3.0
Gambas,1999.0,,4.0
Gambit (Scheme implementation),1988.0,,3.0
GameMonkey Script,,,2.0
General Algebraic Modeling System,,1.0,
Generic Java,,,1.0
Generics in Java,,,1.0
Genie,2008.0,,5.0
Go,2009.0,3.0,19.0
Gofer,,1.0,
Google Native Client,,1.0,
Gosu,,1.0,2.0
Groovy,2003.0,1.0,7.0
HTML,,1.0,
Hack,2014.0,1.0,6.0
Haskell,1990.0,35.0,16.0
Haxe,2005.0,,11.0
Heinz Rutishauser,,,1.0
Hibernate (Java),,1.0,
High Performance Fortran,,1.0,
Hop (software),2006.0,,1.0
Hope,,4.0,
HotSpot (virtual machine),,,1.0
Hy,2013.0,1.0,3.0
HyperCard,,2.0,
